0.111;0.107;0.104;0.102;0.097;0.093;0.089;0.091;0.093;0.099;0.098;0.106
0.102;0.099;0.095;0.092;0.088;0.084;0.081;0.082;0.084;0.089;0.090;0.097
0.099;0.096;0.092;0.090;0.084;0.079;0.076;0.078;0.080;0.087;0.087;0.095
0.101;0.098;0.094;0.092;0.087;0.082;0.079;0.081;0.083;0.089;0.089;0.096
0.121;0.117;0.113;0.109;0.105;0.100;0.096;0.098;0.100;0.106;0.106;0.115
0.232;0.224;0.210;0.193;0.177;0.165;0.159;0.162;0.170;0.187;0.204;0.221
0.333;0.322;0.299;0.270;0.239;0.219;0.210;0.215;0.231;0.261;0.293;0.318
0.344;0.333;0.311;0.286;0.258;0.239;0.229;0.235;0.249;0.276;0.302;0.328
0.317;0.307;0.294;0.283;0.260;0.243;0.233;0.239;0.250;0.273;0.279;0.303
0.299;0.290;0.280;0.274;0.252;0.235;0.226;0.231;0.242;0.266;0.263;0.286
0.305;0.295;0.284;0.277;0.256;0.240;0.230;0.235;0.245;0.268;0.268;0.291
0.337;0.326;0.316;0.311;0.285;0.266;0.256;0.261;0.274;0.301;0.296;0.321
0.333;0.323;0.311;0.303;0.277;0.258;0.247;0.253;0.266;0.293;0.293;0.318
0.297;0.287;0.275;0.263;0.240;0.222;0.214;0.218;0.231;0.255;0.261;0.284
0.270;0.261;0.248;0.236;0.215;0.201;0.192;0.197;0.207;0.228;0.237;0.258
0.271;0.262;0.244;0.221;0.206;0.194;0.186;0.190;0.197;0.213;0.238;0.259
0.331;0.321;0.288;0.242;0.222;0.207;0.198;0.203;0.213;0.234;0.291;0.316
0.428;0.414;0.368;0.301;0.264;0.240;0.230;0.235;0.256;0.291;0.376;0.408
0.482;0.466;0.421;0.357;0.309;0.279;0.268;0.274;0.301;0.346;0.423;0.460
0.433;0.419;0.388;0.349;0.308;0.281;0.270;0.276;0.299;0.338;0.381;0.414
0.363;0.351;0.337;0.324;0.289;0.266;0.255;0.261;0.280;0.314;0.319;0.347
0.300;0.291;0.284;0.282;0.260;0.244;0.234;0.239;0.250;0.273;0.264;0.287
0.222;0.215;0.210;0.208;0.198;0.189;0.182;0.186;0.189;0.202;0.196;0.212
0.150;0.147;0.141;0.138;0.130;0.124;0.119;0.122;0.126;0.133;0.133;0.145
0.111;0.109;0.105;0.102;0.097;0.092;0.089;0.091;0.093;0.098;0.098;0.108
0.102;0.100;0.095;0.092;0.088;0.084;0.081;0.082;0.084;0.088;0.090;0.099
0.099;0.097;0.093;0.089;0.084;0.079;0.076;0.078;0.081;0.086;0.088;0.096
0.101;0.098;0.095;0.091;0.086;0.082;0.079;0.081;0.083;0.088;0.089;0.098
0.121;0.118;0.113;0.109;0.104;0.100;0.096;0.098;0.100;0.105;0.107;0.117
0.232;0.227;0.213;0.193;0.177;0.165;0.159;0.162;0.171;0.185;0.205;0.225
0.333;0.326;0.304;0.269;0.239;0.218;0.210;0.215;0.233;0.258;0.295;0.323
0.344;0.336;0.315;0.285;0.258;0.238;0.229;0.235;0.251;0.274;0.304;0.333
0.318;0.310;0.296;0.282;0.259;0.242;0.233;0.239;0.251;0.271;0.281;0.307
0.300;0.292;0.282;0.274;0.251;0.234;0.225;0.231;0.243;0.263;0.265;0.290
0.305;0.298;0.286;0.276;0.255;0.239;0.230;0.235;0.247;0.265;0.270;0.295
0.337;0.329;0.317;0.310;0.285;0.265;0.255;0.261;0.276;0.298;0.298;0.326
0.334;0.326;0.313;0.302;0.276;0.257;0.247;0.253;0.268;0.290;0.295;0.323
0.297;0.290;0.277;0.263;0.239;0.221;0.213;0.218;0.232;0.252;0.263;0.288
0.270;0.264;0.251;0.235;0.215;0.200;0.192;0.197;0.208;0.226;0.239;0.262
0.271;0.265;0.247;0.220;0.205;0.193;0.186;0.190;0.198;0.211;0.240;0.263
0.332;0.324;0.295;0.241;0.221;0.206;0.198;0.203;0.214;0.232;0.293;0.321
0.428;0.418;0.378;0.300;0.264;0.239;0.230;0.236;0.258;0.288;0.379;0.415
0.482;0.471;0.430;0.356;0.310;0.278;0.267;0.274;0.303;0.342;0.427;0.467
0.434;0.423;0.395;0.348;0.308;0.280;0.270;0.276;0.301;0.335;0.384;0.420
0.363;0.355;0.339;0.323;0.289;0.265;0.255;0.261;0.281;0.311;0.321;0.352
0.301;0.294;0.285;0.281;0.260;0.243;0.234;0.239;0.251;0.270;0.266;0.291
0.223;0.217;0.211;0.208;0.198;0.188;0.181;0.186;0.190;0.200;0.197;0.216
0.173;0.168;0.160;0.151;0.145;0.140;0.134;0.138;0.140;0.146;0.151;0.168
0.136;0.133;0.125;0.116;0.112;0.109;0.104;0.107;0.109;0.113;0.120;0.132
0.109;0.106;0.101;0.096;0.092;0.089;0.085;0.087;0.089;0.093;0.095;0.105
0.102;0.100;0.095;0.090;0.087;0.085;0.081;0.083;0.084;0.088;0.090;0.099
0.099;0.097;0.093;0.089;0.087;0.085;0.082;0.084;0.084;0.086;0.087;0.096
0.103;0.101;0.097;0.093;0.090;0.087;0.084;0.086;0.087;0.090;0.091;0.100
0.137;0.133;0.128;0.121;0.114;0.108;0.103;0.106;0.110;0.117;0.120;0.133
0.211;0.206;0.200;0.193;0.173;0.158;0.151;0.155;0.168;0.186;0.185;0.205
0.309;0.301;0.286;0.268;0.240;0.217;0.208;0.213;0.233;0.259;0.270;0.299
0.365;0.356;0.335;0.310;0.284;0.264;0.252;0.258;0.276;0.301;0.320;0.355
0.381;0.371;0.356;0.337;0.305;0.279;0.267;0.274;0.296;0.326;0.334;0.370
0.400;0.389;0.373;0.355;0.319;0.290;0.277;0.284;0.309;0.343;0.350;0.388
0.429;0.418;0.398;0.374;0.338;0.308;0.295;0.302;0.327;0.363;0.376;0.417
0.427;0.417;0.394;0.366;0.329;0.298;0.285;0.292;0.318;0.355;0.375;0.415
