 TIME                    	KJ                       	KWh                      	Schlafen1                	Schlafen2                	Wohnen                   	Bad                      
4.8100000000000000E+02	4.5345291321704300E+03	1.2595914256029000E+00	6.4249623468636800E-01	6.1709519091652900E-01	0.0000000000000000E+00	0.0000000000000000E+00
4.8200000000000000E+02	1.1069576191316100E+04	3.0748822753655700E+00	1.4956137005593900E+00	1.3047221337274700E+00	2.6030181398198400E-01	1.4244627096726500E-02
4.8300000000000000E+02	1.4305404373015900E+04	3.9737234369488600E+00	1.9904465140373200E+00	1.7489938750258500E+00	2.3428304788568400E-01	0.0000000000000000E+00
4.8400000000000000E+02	1.3022022809375700E+04	3.6172285581599100E+00	1.6093426273161900E+00	1.5234767499936000E+00	4.3960873994942300E-01	4.4800440900701500E-02
4.8500000000000000E+02	1.2328621061308900E+04	3.4246169614746900E+00	1.4174090078586900E+00	1.3870546330714200E+00	5.8518559103831600E-01	3.4967729506266800E-02
4.8600000000000000E+02	1.2109304217954900E+04	3.3636956160985700E+00	1.3169073404810900E+00	1.3046064158715900E+00	6.7180307504856700E-01	7.0378784697328100E-02
4.8700000000000000E+02	1.6739125876438100E+04	4.6497571878994700E+00	1.2172183791792500E+00	1.2084443076739200E+00	1.9301282637033500E+00	2.9396623734294200E-01
4.8800000000000000E+02	1.8973776826885500E+04	5.2704935630237400E+00	1.1404312026206200E+00	1.1300731470413000E+00	2.5762993655251800E+00	4.2368984783663800E-01
4.8900000000000000E+02	1.0532767004024300E+04	2.9257686122289600E+00	8.0932228026220400E-02	4.6515129231609200E-01	2.0720848920642000E+00	3.0760019982244600E-01
4.9000000000000000E+02	9.6726179338134900E+03	2.6868383149481900E+00	8.9586853465983100E-02	6.6291697166819200E-01	1.7267505428185400E+00	2.0758394699547700E-01
4.9100000000000000E+02	1.3606272780814100E+04	3.7795202168928000E+00	9.8019351533451600E-01	1.2591461892735300E+00	1.3732928007468700E+00	1.6688771153788000E-01
4.9200000000000000E+02	1.1627181872895000E+04	3.2297727424708200E+00	8.0041713614290800E-01	1.0821117637390000E+00	1.2022590631258400E+00	1.4498477946307300E-01
4.9300000000000000E+02	5.6716010027260500E+03	1.5754447229794600E+00	0.0000000000000000E+00	3.0024409448329600E-01	1.1354675577990700E+00	1.3973307069709100E-01
4.9400000000000000E+02	4.0616724287340500E+03	1.1282423413150100E+00	0.0000000000000000E+00	0.0000000000000000E+00	9.9240976143771600E-01	1.3583257987729800E-01
4.9500000000000000E+02	4.7297125197830700E+02	1.3138090332730800E-01	1.3138090332730800E-01	0.0000000000000000E+00	0.0000000000000000E+00	0.0000000000000000E+00
4.9600000000000000E+02	0.0000000000000000E+00	0.0000000000000000E+00	0.0000000000000000E+00	0.0000000000000000E+00	0.0000000000000000E+00	0.0000000000000000E+00
4.9700000000000000E+02	7.9652836313363100E+02	2.2125787864823100E-01	2.2125787864823100E-01	0.0000000000000000E+00	0.0000000000000000E+00	0.0000000000000000E+00
4.9800000000000000E+02	9.2792479493376300E+03	2.5775688748160100E+00	1.0801678437223600E+00	6.1292982526683700E-01	7.6729397486114000E-01	1.1717723096567600E-01
4.9900000000000000E+02	1.1440066969251100E+04	3.1777963803475200E+00	8.4959571484989700E-01	5.0942230833148600E-01	1.5410019067321400E+00	2.7777645043400000E-01
5.0000000000000000E+02	6.9790636101623100E+03	1.9386287806006400E+00	9.3951915741629800E-02	3.3265855987058700E-02	1.5735568313981200E+00	2.3785417747383400E-01
5.0100000000000000E+02	8.5464484115045500E+03	2.3740134476401500E+00	3.5922891369370000E-01	2.5160673686922200E-01	1.5460014518098100E+00	2.1717634526741900E-01
5.0200000000000000E+02	5.2911502975029600E+03	1.4697639715286000E+00	5.5099848012550400E-01	4.4360304546179300E-01	4.6959404334876600E-01	5.5684025925367900E-03
5.0300000000000000E+02	4.6057893251079400E+03	1.2793859236411000E+00	6.8789008000048900E-01	5.9149584364060600E-01	0.0000000000000000E+00	0.0000000000000000E+00
5.0400000000000000E+02	6.9705532210627900E+03	1.9362647836285500E+00	7.6336107963073900E-01	6.7935142845144900E-01	4.4684181701201900E-01	4.6710458534344800E-02
5.0500000000000000E+02	8.1315305451473200E+03	2.2587584847631400E+00	8.2936703868950500E-01	7.5652020042995500E-01	6.7287124564368500E-01	0.0000000000000000E+00
5.0600000000000000E+02	1.4092616514610500E+04	3.9146156985029400E+00	1.6715189673261100E+00	1.4474545571847900E+00	7.4086130166821900E-01	5.4780872323829300E-02
5.0700000000000000E+02	1.7430162528943700E+04	4.8417118135954700E+00	2.1502111436012500E+00	1.8846021589196100E+00	7.2811994599892400E-01	7.8778565075688100E-02
5.0800000000000000E+02	1.5636232564167500E+04	4.3433979344909800E+00	1.7627617812575000E+00	1.6587401234963600E+00	8.1668715502703400E-01	1.0520887471009100E-01
5.0900000000000000E+02	1.4747524974515100E+04	4.0965347151430800E+00	1.5679562900495900E+00	1.5233257322193600E+00	8.8219453686616200E-01	1.2305815600797100E-01
5.1000000000000000E+02	1.4324188173243700E+04	3.9789411592343600E+00	1.4669804416889400E+00	1.4431114621590800E+00	9.3286719272634600E-01	1.3598206265999200E-01
5.1100000000000000E+02	1.8743103141028600E+04	5.2064175391746200E+00	1.3667435549072600E+00	1.3483078834666700E+00	2.1454815262493500E+00	3.4588457455134200E-01
5.1200000000000000E+02	2.0675649780810600E+04	5.7432360502251700E+00	1.2826985144305600E+00	1.2644570400325900E+00	2.7302890047162900E+00	4.6579149104572400E-01
5.1300000000000000E+02	1.3334232981310400E+04	3.7039536059195600E+00	4.4124133683527500E-01	5.8417851058765700E-01	2.3070232922452700E+00	3.7151046625136200E-01
5.1400000000000000E+02	1.3656917998280100E+04	3.7935883328555700E+00	6.7597883016120000E-01	7.4947977944272800E-01	2.0639224257326500E+00	3.0420729751899500E-01
5.1500000000000000E+02	1.6699334650476400E+04	4.6387040695767700E+00	1.4319032118196800E+00	1.2944678671833100E+00	1.6567402248850500E+00	2.5559276568873300E-01
5.1600000000000000E+02	1.4078781726781500E+04	3.9107727018837600E+00	1.1282099087772500E+00	1.1010116133191400E+00	1.4641691540444100E+00	2.1738202574295200E-01
5.1700000000000000E+02	7.1960758847783200E+03	1.9989099679939800E+00	1.4958204058439500E-01	3.1646725464923100E-01	1.3448960358014000E+00	1.8796463695895200E-01
5.1800000000000000E+02	5.1794068941452600E+03	1.4387241372625700E+00	0.0000000000000000E+00	0.0000000000000000E+00	1.2711848393287500E+00	1.6753929793382300E-01
5.1900000000000000E+02	8.1012301730111800E+02	2.2503417147253300E-01	1.9357623214534800E-01	3.1457939327185300E-02	0.0000000000000000E+00	0.0000000000000000E+00
5.2000000000000000E+02	1.9917734482348700E+02	5.5327040228746500E-02	3.7207315919146100E-02	1.8119724309600500E-02	0.0000000000000000E+00	0.0000000000000000E+00
